uid,100m,300m,500m,700m,900m
5448,0.83419503,0.604054827,0.438896731,0.304353273,0.184818252
5449,0.818388775,0.589075929,0.437666041,0.30413396,0.178582699
5450,0.759314223,0.461376601,0.347983724,0.27289997,0.340228425
5451,0.829414047,0.588959255,0.428928698,0.289573238,0.153137654
5462,0.82185106,0.600249532,0.43977914,0.29402674,0.2177099
5477,0.690170615,0.293367971,0.147424881,0.150683674,0.190784086
5479,0.800418585,0.580125337,0.419748699,0.277841845,0.157064164
5480,0.720759593,0.333643101,0.077237815,0.014900783,0.01326636
5484,0.758551209,0.579847018,0.469215255,0.376053329,0.400532524
5542,0.737219068,0.370217936,0.216658005,0.216370239,0.263060248
5578,0.766012727,0.520602429,0.420289528,0.360187408,0.392786752
5922,0.835227049,0.588455046,0.421285906,0.279005316,0.136524943
5924,0.819938166,0.584538614,0.406983604,0.246942637,0.143196894
5925,0.781163657,0.538736224,0.44932763,0.392007585,0.402837302
5927,0.781940664,0.424102221,0.290859491,0.248999402,0.28791647
5928,0.787986637,0.549298753,0.444501348,0.355733744,0.346506439
5935,0.784600957,0.494667729,0.349701818,0.257077586,0.251341521
5936,0.769804454,0.56526646,0.473461764,0.3816767,0.383795601
5937,0.80964782,0.551129563,0.372438077,0.248077758,0.210871744
5938,0.630585198,0.321079766,0.233223285,0.176083489,0.240490412
5939,0.577535935,0.306784388,0.232608057,0.179846133,0.23500243
5940,0.723268543,0.421282712,0.308095457,0.273664369,0.324435098
5941,0.826786934,0.598889995,0.447789797,0.307907801,0.185615639
5943,0.790591268,0.553722417,0.390576717,0.228471564,0.202254968
5944,0.651798936,0.246192143,0.179366817,0.201043437,0.270039628
5945,0.707630759,0.427506236,0.263749571,0.193538338,0.225808519
5947,0.749499432,0.527502408,0.399659741,0.30700186,0.36545005
5948,0.805829275,0.583838203,0.41728729,0.256549845,0.213643685
5949,0.692972149,0.410604996,0.329287806,0.29753061,0.384108643
5950,0.750536827,0.545343523,0.4428218,0.346592396,0.380350168
5951,0.827280307,0.59031234,0.433423551,0.296079841,0.153548689
5952,0.819812426,0.586097545,0.42636477,0.289106071,0.14208749
5953,0.698229607,0.439759544,0.349758669,0.30076143,0.372505456
5956,0.74259915,0.492368144,0.368742002,0.272687352,0.293266734
5957,0.743104594,0.510940787,0.383778405,0.332276658,0.338465973
5958,0.815596461,0.594082736,0.439095994,0.289069159,0.171334891
5959,0.685728287,0.343249403,0.151961655,0.154111019,0.229701518
5963,0.675259676,0.367280553,0.235843965,0.182789376,0.257440081
5964,0.80955734,0.605621952,0.452184666,0.313430054,0.19078628
5965,0.812839929,0.571973905,0.465256986,0.382441,0.366895524
5966,0.810100614,0.5574674,0.45365411,0.367211185,0.361569743
5967,0.805283573,0.50113375,0.356386851,0.303300908,0.324776426
5968,0.759851614,0.486440939,0.354828827,0.307377872,0.342805423
5969,0.823788146,0.559616579,0.405305007,0.296824575,0.226987267
5972,0.72655873,0.508273005,0.382979843,0.305536679,0.36906076
5973,0.773983775,0.440716975,0.323645668,0.289651784,0.359512864
5974,0.729645911,0.464060551,0.257716164,0.180943496,0.192003749
5975,0.823056512,0.531396106,0.341264919,0.237098527,0.296298681
5976,0.573057586,0.200687474,0.132565326,0.16599192,0.228110039
5977,0.773131008,0.555426133,0.459431252,0.364441955,0.389554402
5979,0.706565249,0.485862927,0.354670363,0.314279249,0.376269665
5980,0.776796649,0.542690761,0.376067066,0.250302423,0.273849082
5982,0.820981973,0.59133108,0.440110997,0.303319962,0.178348314
5986,0.825950237,0.562717897,0.43894055,0.365020428,0.33006127
5988,0.797966738,0.582663878,0.477049779,0.390020466,0.390378154
5991,0.812202466,0.591078437,0.439904314,0.295863317,0.188721181
5992,0.776464336,0.590620897,0.498489754,0.419015573,0.417263093
